price,bedrooms,bathrooms,livingArea,lotSize,yearBuilt,propertyTaxRate,taxAssessedValue,zestimate,rentZestimate,latitude,longitude,resoFacts/stories,resoFacts/hasGarage,resoFacts/hasHeating,resoFacts/hasCooling,resoFacts/hasFireplace,resoFacts/isNewConstruction,homeType
315400,3.0,3.0,1806.0,1555.0,2007.0,1.12,273960.0,317406.0,1950.0,45.54357147,-122.4417648,,False,True,False,True,,TOWNHOUSE
400000,3.0,3.0,1518.0,3484.0,2001.0,1.12,,,,45.54758453,-122.4532242,2.0,False,True,True,True,False,SINGLE_FAMILY
512000,4.0,3.0,2724.0,9583.0,1982.0,1.12,397560.0,512355.0,1995.0,45.48822784,-122.4444199,2.0,False,True,True,True,False,SINGLE_FAMILY
348000,3.0,1.0,1217.0,13939.0,1953.0,1.12,269520.0,,1695.0,45.52663422,-122.4640884,1.0,False,True,,True,False,SINGLE_FAMILY
510000,6.0,3.0,2400.0,8545.0,1967.0,1.12,421980.0,,1395.0,45.5112381,-122.4315338,,False,True,True,,,APARTMENT
404200,3.0,2.0,1150.0,7000.0,1967.0,1.12,309260.0,397479.0,1800.0,45.48799133,-122.4161835,,False,True,False,True,,SINGLE_FAMILY
478200,3.0,2.0,2036.0,6969.0,1978.0,1.12,373030.0,481241.0,2250.0,45.4981842,-122.4513321,,False,True,True,True,,SINGLE_FAMILY
530000,4.0,2.0,1947.0,4791.0,2018.0,1.12,426240.0,532813.0,,45.46759796,-122.4583893,1.0,False,True,True,True,False,SINGLE_FAMILY
419900,3.0,3.0,1548.0,5009.0,2006.0,1.12,326910.0,459426.0,2050.0,45.48519516,-122.4188385,,True,True,True,True,,SINGLE_FAMILY
550000,3.0,3.0,2209.0,5227.0,2017.0,1.12,453610.0,557448.0,2300.0,45.47535324,-122.4683075,2.0,False,True,True,True,False,SINGLE_FAMILY
490300,4.0,3.0,2838.0,6480.0,1958.0,1.12,370340.0,538007.0,2195.0,45.49370956,-122.4230194,,False,True,True,True,,SINGLE_FAMILY
600000,4.0,4.0,3180.0,4791.0,2018.0,1.12,539940.0,608559.0,,45.46751404,-122.4554443,2.0,False,True,True,True,False,SINGLE_FAMILY
380000,3.0,2.0,1248.0,7840.0,1968.0,1.12,293990.0,390274.0,1895.0,45.5201416,-122.4579391,1.0,False,True,,True,False,SINGLE_FAMILY
330000,3.0,1.0,1288.0,9147.0,1969.0,1.12,323820.0,338795.0,1895.0,45.51000214,-122.4231567,1.0,False,True,True,,False,SINGLE_FAMILY
410000,4.0,2.0,1752.0,8000.0,1973.0,1.12,300380.0,,1595.0,45.51715469,-122.4470291,,False,True,False,,,APARTMENT
465000,3.0,3.0,1772.0,11324.0,1974.0,1.12,399990.0,473409.0,2200.0,45.48252106,-122.4570999,,False,True,True,True,,SINGLE_FAMILY
387000,3.0,1.0,1328.0,6969.0,1962.0,1.12,319010.0,402454.0,1850.0,45.52406311,-122.4689026,1.0,False,True,,True,False,SINGLE_FAMILY
205000,2.0,2.0,990.0,10018.0,1981.0,1.12,174680.0,270923.0,1595.0,45.53515244,-122.491478,,False,True,False,True,,TOWNHOUSE
690000,4.0,3.0,3792.0,15245.0,2013.0,1.12,592310.0,734135.0,1800.0,45.4651413,-122.4272003,2.0,False,True,True,True,False,SINGLE_FAMILY
454400,3.0,3.0,2061.0,,2020.0,1.12,157500.0,,,45.4666481,-122.4595642,2.0,False,True,True,True,True,SINGLE_FAMILY
516400,5.0,3.0,2892.0,,2020.0,1.12,165000.0,556402.0,,45.46661377,-122.459198,2.0,False,True,True,True,True,SINGLE_FAMILY
370000,3.0,1.0,946.0,6969.0,1964.0,1.12,253320.0,379716.0,1750.0,45.51468277,-122.4717941,1.0,False,True,,,False,SINGLE_FAMILY
412000,3.0,2.0,1770.0,7405.0,1968.0,1.12,322160.0,422819.0,1950.0,45.51647949,-122.443367,1.0,False,True,True,True,False,SINGLE_FAMILY
220000,4.0,3.0,1976.0,7925.0,1976.0,1.12,358630.0,462293.0,2175.0,45.51407623,-122.4072952,,False,True,False,True,,SINGLE_FAMILY
235000,3.0,1.0,1126.0,8199.0,1965.0,1.12,291400.0,241353.0,1850.0,45.5193634,-122.4186401,,False,True,True,True,,SINGLE_FAMILY
318000,3.0,1.0,864.0,6969.0,1962.0,1.12,275880.0,326597.0,1600.0,45.51176071,-122.479332,,False,True,False,,,SINGLE_FAMILY
2495,3.0,1.0,1224.0,7500.0,1965.0,1.12,261630.0,221957.0,2195.0,45.49597931,-122.4142075,,False,True,True,,False,SINGLE_FAMILY
360000,3.0,1.0,946.0,7405.0,1963.0,1.12,247870.0,374868.0,1750.0,45.51531219,-122.4721146,1.0,False,True,True,True,False,SINGLE_FAMILY
440000,3.0,2.0,1672.0,10890.0,1971.0,1.12,347710.0,451896.0,1995.0,45.51266479,-122.4418564,1.0,False,True,,True,False,SINGLE_FAMILY
350000,6.0,2.0,1794.0,7000.0,1965.0,1.12,329220.0,441205.0,1895.0,45.51955032,-122.420105,,False,True,True,True,,SINGLE_FAMILY
420000,4.0,3.0,2281.0,4791.0,2005.0,1.12,375400.0,446993.0,2495.0,45.47290802,-122.4532166,2.0,False,True,True,True,False,SINGLE_FAMILY
345000,3.0,1.0,890.0,6969.0,1963.0,1.12,272690.0,354593.0,1600.0,45.51657104,-122.4321289,1.0,False,True,True,,False,SINGLE_FAMILY
315000,3.0,2.1,1509.0,2556.0,2007.0,1.12,283210.0,324123.0,1900.0,45.53439713,-122.4816742,,False,True,False,True,,CONDO
225500,3.0,2.0,1280.0,7094.0,1980.0,1.12,315730.0,232117.0,1950.0,45.5094986,-122.4712296,,False,True,False,True,,SINGLE_FAMILY
450000,3.0,2.0,1717.0,7840.0,2004.0,1.12,381000.0,484523.0,2250.0,45.47445297,-122.3928452,1.0,False,True,True,True,False,SINGLE_FAMILY
